芭蕉扇,芭蕉扇,ba1 jiao1 shan4,pa tɕjɑʊ ʂan,5,ɑ
八角,八角,ba1 jiao3,pa tɕjɑʊ,5,ɑ
巴結,巴结,ba1 jie5,pa tɕjɛ,5,ɛ
扒拉,扒拉,ba1 la5,pa la,3,a
芭蕾,芭蕾,ba1 lei3,pa leɪ,3,e
芭蕾舞,芭蕾舞,ba1 lei3 wu3,pa leɪ u,3,e
八面玲瓏,八面玲珑,ba1 mian4 ling2 long2,pa mjɛn liŋ lʊŋ,3,j
扒皮,扒皮,ba1 pi2,pa pʰi,2,pʰ
巴士,巴士,ba1 shi4,pa ʂɨ,3,ɨ
扒頭,扒头,ba1 tou5,pa tʰoʊ,3,o
扒土,扒土,ba1 tu3,pa tʰu,3,u
巴望,巴望,ba1 wang4,pa wɑŋ,3,ɑ
八月,八月,ba1 yue4,pa ɥœ,2,ɥ
八字不合,八字不合,ba1 zi4 bu4 he2,pa tsɯ pu xɤ,3,s
巴子,巴子,ba1 zi5,pa tsɯ,3,s
拔縫,拔缝,ba2 feng4,pa fɤŋ,2,f
拔河,拔河,ba2 he2,pa xɤ,3,ɤ
跋扈,跋扈,ba2 hu4,pa xu,3,u
拔尖,拔尖,ba2 jian1,pa tɕjɛn,5,ɛ
菝葜,菝葜,ba2 qia1,pa tɕʰja,5,a
跋前躓後,跋前踬后,ba2 qian2 zhi4 hou4,pa tɕʰjɛn ʈʂɨ xoʊ,5,ɛ
拔取,拔取,ba2 qu3,pa tɕʰy,4,y
跋山涉水,跋山涉水,ba2 shan1 she4 shui3,pa ʂan ʂɤ ʂweɪ,3,a
跋涉,跋涉,ba2 she4,pa ʂɤ,3,ɤ
拔牙,拔牙,ba2 ya2,pa ja,2,j
拔一毛而利天下，不為也,拔一毛而利天下，不为也,ba2 yi4 mao2 er2 li4 tian1 xia4 bu4 wei2 ye3,pa i mɑʊ ɑɻ li tʰjɛn ɕja pu weɪ jɛ,2,i
拔擢,拔擢,ba2 zhuo2,pa ʈʂwɔ,3,ʂ
把柄,把柄,ba3 bing3,pa piŋ,3,i
靶場,靶场,ba3 chang3,pa ʈʂʰɑŋ,4,ɑ
把持,把持,ba3 chi2,pa ʈʂʰɨ,4,ɨ
把持不住,把持不住,ba3 chi2 bu5 zhu4,pa ʈʂʰɨ pu ʈʂu,4,ɨ
把馬子,把马子,ba3 ma3 zi5,pa ma tsɯ,3,a
把妹,把妹,ba3 mei4,pa meɪ,3,e
把袂,把袂,ba3 mei4,pa meɪ,3,e
把手,把手,ba3 shou5,pa ʂoʊ,3,o
把握,把握,ba3 wo4,pa wɔ,3,ɔ
把握機會,把握机会,ba3 wo4 ji1 hui4,pa wɔ tɕi xweɪ,3,ɔ
把戲,把戏,ba3 xi4,pa ɕi,2,ɕ
靶子,靶子,ba3 zi5,pa tsɯ,3,s
爸爸,爸爸,ba4 ba5,pa pa,3,a
罷黜,罢黜,ba4 chu4,pa ʈʂʰu,4,u
霸道,霸道,ba4 dao4,pa tɑʊ,3,ɑ
罷工,罢工,ba4 gong1,pa kʊŋ,3,ʊ
罷了,罢了,ba4 le5,pa lɤ,3,ɤ
白板,白板,bai2 ban3,paɪ pan,4,a
白癡,白痴,bai2 chi1,paɪ ʈʂʰɨ,5,ɨ
百尺竿頭，更進一步,百尺竿头，更进一步,bai2 chi3 gan1 tou2 geng4 jin4 yi2 bu4,paɪ ʈʂʰɨ kan tʰoʊ kɤŋ tɕin i pu,5,ɨ
白醋,白醋,bai2 cu4,paɪ tsʰu,5,u
白刀子進，紅刀子出,白刀子进，红刀子出,bai2 dao1 zi5 jin4 hong2 dao1 zi5 chu1,paɪ tɑʊ tsɯ tɕin xʊŋ tɑʊ tsɯ ʈʂʰu,4,ɑ
白堊,白垩,bai2 e4,paɪ ɤ,3,ɤ
白堊紀,白垩纪,bai2 e4 ji4,paɪ ɤ tɕi,3,ɤ
白帆,白帆,bai2 fan1,paɪ fan,5,n
白飯,白饭,bai2 fan4,paɪ fan,5,n
白干兒,白干儿,bai2 gan1 er5,paɪ kan ɑɻ,6,ɑ
白鶴,白鹤,bai2 he4,paɪ xɤ,4,ɤ
白珩,白珩,bai2 heng2,paɪ xɤŋ,5,ŋ
白花花,白花花,bai2 hua1 hua1,paɪ xwa xwa,6,x
白酒,白酒,bai2 jiu3,paɪ tɕjoʊ,6,o
白蛉,白蛉,bai2 ling2,paɪ liŋ,5,ŋ
白鷺,白鹭,bai2 lu4,paɪ lu,4,u
白鷺鷥,白鹭鸶,bai2 lu4 si1,paɪ lu sɯ,4,u
白馬王子,白马王子,bai2 ma3 wang2 zi3,paɪ ma wɑŋ tsɯ,4,a
白茫茫,白茫茫,bai2 mang2 mang2,paɪ mɑŋ mɑŋ,6,m
白矇矇,白蒙蒙,bai2 meng1 meng1,paɪ mɤŋ mɤŋ,4,ɤ
白麵,白面,bai2 mian4,paɪ mjɛn,4,j
白麵兒,白面儿,bai2 mian4 er5,paɪ mjɛn ɑɻ,4,j
白日夢,白日梦,bai2 ri4 meng4,paɪ ʐɨ mɤŋ,3,ʐ
白色,白色,bai2 se4,paɪ sɤ,4,ɤ
白手成家,白手成家,bai2 shou3 cheng2 jia1,paɪ ʂoʊ ʈʂʰɤŋ tɕja,6,ʈ
白手起家,白手起家,bai2 shou3 qi3 jia1,paɪ ʂoʊ tɕʰi tɕja,6,t
白鼠,白鼠,bai2 shu3,paɪ ʂu,4,u
白天,白天,bai2 tian1,paɪ tʰjɛn,4,j
白頭,白头,bai2 tou2,paɪ tʰoʊ,4,o
白頭材料,白头材料,bai2 tou2 cai2 liao4,paɪ tʰoʊ tsʰaɪ ljɑʊ,6,t
白頭帖子,白头帖子,bai2 tou2 tie3 zi5,paɪ tʰoʊ tʰjɛ tsɯ,6,tʰ
白頭偕老,白头偕老,bai2 tou2 xie2 lao3,paɪ tʰoʊ ɕjɛ lɑʊ,6,ɕ
白皙,白皙,bai2 xi1,paɪ ɕi,4,i
白血病,白血病,bai2 xue4 bing4,paɪ ɕɥœ piŋ,4,ɥ
白蟻,白蚁,bai2 yi3,paɪ i,3,i
白紙,白纸,bai2 zhi3,paɪ ʈʂɨ,5,ɨ
白紙黑字,白纸黑字,bai2 zhi3 hei1 zi4,paɪ ʈʂɨ xeɪ tsɯ,5,ɨ
白晝,白昼,bai2 zhou4,paɪ ʈʂoʊ,5,o
白字,白字,bai2 zi4,paɪ tsɯ,5,ɯ
擺佈,摆布,bai3 bu4,paɪ pu,4,u
擺出來,摆出来,bai3 chu1 lai2,paɪ ʈʂʰu laɪ,5,u
百川歸海,百川归海,bai3 chuan1 gui1 hai3,paɪ ʈʂʰwan kweɪ xaɪ,5,w
擺動,摆动,bai3 dong4,paɪ tʊŋ,4,ʊ
百讀不厭,百读不厌,bai3 du2 bu2 yan4,paɪ tu pu jɛn,4,u
百發百中,百发百中,bai3 fa1 bai3 zhong4,paɪ fa paɪ ʈʂʊŋ,5,p
百分,百分,bai3 fen1,paɪ fən,4,ə
百分比,百分比,bai3 fen1 bi3,paɪ fən pi,6,p
百分數,百分数,bai3 fen1 shu4,paɪ fən ʂu,6,ʂ
百分之,百分之,bai3 fen1 zhi1,paɪ fən ʈʂɨ,6,ʈ
百感交集,百感交集,bai3 gan3 jiao1 ji2,paɪ kan tɕjɑʊ tɕi,6,t
擺供,摆供,bai3 gong4,paɪ kʊŋ,4,ʊ
捭闔,捭阖,bai3 he2,paɪ xɤ,4,ɤ
