扳機,扳机,ban1 ji1,pan tɕi
搬家,搬家,ban1 jia1,pan tɕja
頒獎,颁奖,ban1 jiang3,pan tɕjɑŋ
頒獎典禮,颁奖典礼,ban1 jiang3 dian3 li3,pan tɕjɑŋ tjɛn li
搬進,搬进,ban1 jin4,pan tɕin
斑鳩,斑鸠,ban1 jiu1,pan tɕjoʊ
斑斕,斑斓,ban1 lan2,pan lan
班門弄斧,班门弄斧,ban1 men2 nong4 fu3,pan mən nʊŋ fu
搬弄,搬弄,ban1 nong4,pan nʊŋ
搬弄是非,搬弄是非,ban1 nong4 shi4 fei1,pan nʊŋ ʂɨ fɤ
搬遷,搬迁,ban1 qian1,pan tɕʰjɛn
扳手,扳手,ban1 shou3,pan ʂoʊ
搬移,搬移,ban1 yi2,pan i
搬運,搬运,ban1 yun4,pan yn
班長,班长,ban1 zhang3,pan ʈʂɑŋ
斑竹,斑竹,ban1 zhu2,pan ʈʂu
班主任,班主任,ban1 zhu3 ren4,pan ʈʂu ʐən
搬走,搬走,ban1 zou3,pan tsoʊ
版本,版本,ban3 ben3,pan pən
板壁,板壁,ban3 bi4,pan pi
板擦,板擦,ban3 ca1,pan tsʰa
板凳,板凳,ban3 deng4,pan tɤŋ
板塊,板块,ban3 kuai4,pan kʰwaɪ
板牆,板墙,ban3 qiang2,pan tɕʰjɑŋ
版權,版权,ban3 quan2,pan tɕʰɥœn
板上釘釘,板上钉钉,ban3 shang4 ding1 ding4,pan ʂɑŋ tiŋ tiŋ
板式,板式,ban3 shi4,pan ʂɨ
板條箱,板条箱,ban3 tiao2 xiang1,pan tʰjɑʊ ɕjɑŋ
板牙,板牙,ban3 ya2,pan ja
板障,板障,ban3 zhang4,pan ʈʂɑŋ
版主,版主,ban3 zhu3,pan ʈʂu
板子,板子,ban3 zi5,pan tsɯ
辦案,办案,ban4 an4,pan an
半成品,半成品,ban4 cheng2 pin3,pan ʈʂʰɤŋ pʰin
半島,半岛,ban4 dao3,pan tɑʊ
辦得到,办得到,ban4 de5 dao4,pan tɤ tɑʊ
辦法,办法,ban4 fa3,pan fa
辦公,办公,ban4 gong1,pan kʊŋ
辦公區,办公区,ban4 gong1 qu1,pan kʊŋ tɕʰy
辦公室,办公室,ban4 gong1 shi4,pan kʊŋ ʂɨ
辦公枱,办公台,ban4 gong1 tai2,pan kʊŋ tʰaɪ
